Paper ID,Section,Parameter,Value,,
IV. Experimental Evaluation,Other Results,Quantization limits GPU acceleration benefits. Adapters work best at end of conv layers for small models.,,,
V. Efficiency Metrics (PIN-Lite Specific),Model Size (MB),Base ~4.5M params. Compressed 60-90%.,,,
V. Efficiency Metrics (PIN-Lite Specific),Parameters (M),"~4.5M (Base), <0.5M (Compressed)",,,
V. Efficiency Metrics (PIN-Lite Specific),FLOPs (G),Not Reported,,,
V. Efficiency Metrics (PIN-Lite Specific),Inference Time (ms),Not Reported,,,
V. Efficiency Metrics (PIN-Lite Specific),Compression Techniques Used,"Pruning, Knowledge Distillation, Quantization (int8), Adapters.",,,
V. Efficiency Metrics (PIN-Lite Specific),Edge Deployment Discussed,"Yes, primary motivation.",,,
VI. Critical Analysis,Strengths,Comprehensive combination of compression + transfer learning. Highlighting the domain generalization gap in compressed models.,,,
VI. Critical Analysis,Drawbacks & Limitations,Used a relatively simple VGG base model rather than SOTA Transformers. Quantization results were mixed.,,,
VI. Critical Analysis,Future Work,Address domain generalization in compressed models.,,,
VII. Relevance to PIN-Lite,Comparison Points,Directly aligns with PIN-Lite's mission of efficient Deepfake detection.,,,
VII. Relevance to PIN-Lite,Key Differences from Our Approach,"Focuses on image-only Deepfakes (CNNs), whereas PIN-Lite may target video/multimodal.",,,
VII. Relevance to PIN-Lite,Citation Context, foundational reference for compression benchmarks (Pruning vs KD) in Deepfake domain.,,,
,,,,,
I. Publication Details,Paper Title,Interpretability-Aware Pruning for Efficient Medical Image Analysis,,,
I. Publication Details,Authors,"Nikita Malik, Pratinav Seth, Neeraj K. Singh, Chintan Chitroda, Vinay K. Sankarapu",,,
I. Publication Details,Publication Year,2025,,,
I. Publication Details,Publication Venue,arXiv,,,
I. Publication Details,Type of Paper,Conference/Preprint,,,
II. Research Overview,Core Idea / Contribution,"Uses XAI attribution methods (LRP, DL-Backtrace, IG) to determine neuron importance for unstructured pruning.",,,
II. Research Overview,Problem Addressed,Reducing computational complexity of medical imaging models while maintaining accuracy and increasing transparency/trust.,,,
II. Research Overview,Key Findings,LRP is the best attribution method for pruning. ViT models are highly robust (up to 85% pruning). Clustering-based sampling improves relevance score computation.,,,
III. Technical Deep Dive,Proposed Method Name,Interpretability-Aware Pruning,,,
III. Technical Deep Dive,Architecture,"VGG19, ResNet50, Vision Transformer (ViT-B/16)",,,
III. Technical Deep Dive,Video Encoder,N/A (Medical Imaging),,,
III. Technical Deep Dive,Audio Encoder,N/A,,,
III. Technical Deep Dive,Fusion Mechanism,N/A,,,
III. Technical Deep Dive,Loss Function(s),Cross-Entropy (for baseline training),,,
IV. Experimental Evaluation,Training Datasets,"MURA, KVASIR, CPN, FETAL Planes",,,
IV. Experimental Evaluation,Testing Datasets,"MURA, KVASIR, CPN, FETAL Planes",,,
IV. Experimental Evaluation,Evaluation Metrics,Accuracy vs Pruning Rate,,,
IV. Experimental Evaluation,Accuracy,Maintains baseline accuracy up to ~40-50% pruning (CNNs) and ~80% (ViTs).,,,
IV. Experimental Evaluation,AUC,Not Reported,,,
IV. Experimental Evaluation,F1-Score,Not Reported,,,
IV. Experimental Evaluation,Other Results,Clustering sampling outperforms random/confidence sampling for calculating neuron importance.,,,
V. Efficiency Metrics (PIN-Lite Specific),Model Size (MB),Not Reported,,,
V. Efficiency Metrics (PIN-Lite Specific),Parameters (M),Varies (ViT-B/16 is ~86M). Sparsity up to 85%.,,,
V. Efficiency Metrics (PIN-Lite Specific),FLOPs (G),Not Reported,,,
V. Efficiency Metrics (PIN-Lite Specific),Inference Time (ms),Not Reported,,,
V. Efficiency Metrics (PIN-Lite Specific),Compression Techniques Used,Unstructured Pruning (Neuron level) guided by XAI.,,,
V. Efficiency Metrics (PIN-Lite Specific),Edge Deployment Discussed,"Yes, for clinical settings with limited infrastructure.",,,
VI. Critical Analysis,Strengths,Novel link between interpretability and efficiency. distinct analysis of ViT vs CNN robustness.,,,
VI. Critical Analysis,Drawbacks & Limitations,Unstructured pruning often requires specialized hardware to realize speedups (vs structured pruning). Calculation of importance scores adds overhead.,,,
VI. Critical Analysis,Future Work,Validate on region-specific data for better generalization.,,,
VII. Relevance to PIN-Lite,Comparison Points,Provides a smart pruning metric (XAI-based) alternative to magnitude pruning for PIN-Lite.,,,
VII. Relevance to PIN-Lite,Key Differences from Our Approach,"Medical domain focus, but the pruning methodology is transferrable to Deepfake detection.",,,
VII. Relevance to PIN-Lite,Citation Context,Technique for 'Smart Pruning' to retain critical features in compressed models.,,,
